subject_code,module_number,module_title,topics
BCS3502,1,Introduction Memory and Microprocessor,"Introduction to microprocessors; Primary memory RAM SRAM DRAM ROM PROM EPROM EEPROM; Secondary memory and magnetic memory; Addressing capacity of CPU; Evolution of microprocessor and its types; Microprocessor architecture and operation of its components; Addressing modes; Internal data transfer schemes; Instruction and data flow; Timing diagrams; Interfacing devices; Architectural advancement of microprocessors; Typical microprocessor development schemes"
BCS3502,2,8085 Microprocessor,"8 bit microprocessor internal architecture; Pin diagram; Interrupt and machine cycle; Instruction sets; Addressing modes; Instruction classification; Features of Pentium microprocessor; Pentium II; Pentium III; Pentium IV microprocessors"
BCS3502,3,8086 Microprocessor and Assembly Language Programming,"Architecture of 8086 microprocessor; Register organization; Bus interface unit; Execution unit; Memory addressing; Operating modes; Instruction sets and instruction format; Types of instructions; Introduction to 8086 family; Procedure and macros; Interfacing; Timing and troubleshooting; Interrupts; Assembly language programming data transfer; Arithmetic and logic operations; Branch operations; Looping counting and indexing; Programming techniques counters and time delays; Stacks and subroutines; Conditional calls and returns"
BCS3502,4,Peripheral Interfacing,"Introduction to peripheral devices; 8237 DMA controller; 8255 programmable peripheral interface; 8253 and 8254 programmable timer counter; 8259 programmable interrupt controller; 8251 USART and RS232C"
BCS3503,1,Network Introduction and Architecture,"Network objectives and applications; Network structure and architecture; OSI reference model; Network services; Network standardization; Examples of network; Physical layer fundamentals of data communication; Transmission media; Analog transmission; Digital transmission; Switching; ISDN; Terminal handling; Broadcast channels and medium access; LAN protocols"
BCS3503,2,Data Link Layer and Network Layer,"Design issues of data link layer; Error detection and correction; Elementary data link protocols; Sliding window protocols; Network layer design issues; Routing algorithms; Congestion control; Internetworking; CSMA with collision detection; Collision free protocols; IEEE standard 802 for LANs; Comparison of LANs; Fiber optic networks and FDDI"
BCS3503,3,Transport Session and Presentation Layer,"Transport layer design issues; Connection management; Simple transport protocol example; Session layer design issues; Remote procedure call; Presentation layer design issues; Data compression and encryption; Network security and privacy"
BCS3503,4,Application Layer,"Application layer design issues; File transfer and file access; Electronic mail; Virtual terminals; Other applications; Case study based on available network software"
BCS3504,1,Introduction to Automata,"Introduction; Alphabets strings and languages; Automata and grammars; Deterministic finite automata formal definition; State transition graph; Transition table; Language of DFA; Nondeterministic finite automata; NFA with epsilon moves; Language of NFA; Equivalence of NFA and DFA; Minimization of finite automata; Myhill Nerode theorem"
BCS3504,2,Regular Expressions and Regular Languages,"Operators of regular expression and their precedence; Algebraic laws for regular expressions; Kleene's theorem; Regular expression to FA; Application and limitations of FA; DFA to regular expression; Arden theorem; Non regular languages; Pumping lemma for regular languages; Application of pumping lemma; Closure and decision properties of regular languages; FA without epsilon move and Mealy machine; Equivalence of Moore and Mealy machine"
BCS3504,3,Context Free Grammar and Languages,"Context free grammar definition and examples; Derivation; Derivation trees; Ambiguity in grammar; Inherent ambiguity; Ambiguous to unambiguous CFG; Useless symbols; Simplification of CFGs; Normal forms for CFGs CNF and GNF; Closure and decision properties of CFL; Pumping lemma for CFLs; Pushdown automata description and definition; Instantaneous description; Language of PDA by final state and empty stack; Deterministic PDA; Equivalence of PDA and CFG; Two stack PDA"
BCS3504,4,Turing Machines,"Basic model definition and representation; Instantaneous description; Language acceptance by TM; Variants of Turing machine; Universal TM; TM as computer of recursive function; Church thesis; Recursive and recursively enumerable languages; Halting problem; Introduction to undecidability; Post correspondence problem; Modified PCP; Introduction to recursive function theory"
BCS3505,1,Introduction to Computer Graphics,"Introduction to computer graphics; Advantages and applications of computer graphics; Classification of computer graphics; Random scan displays; Raster scan displays; Frame buffer and video controller; DDA line drawing algorithm; Bresenham line drawing algorithm; Parallel line algorithm; DDA circle drawing algorithm; Bresenham circle drawing algorithm; Midpoint circle drawing algorithm"
BCS3505,2,Transformations Windowing and Clipping,"Basic transformations translation rotation scaling; Matrix representation and homogeneous coordinates; Composite transformations; Reflection and shearing transformations; Viewing pipeline and viewing transformations; Cohen Sutherland line clipping; Liang Barsky line clipping algorithm; Polygon clipping Sutherland Hodgman algorithm; Weiler Atherton polygon clipping; Curve clipping and text clipping; 3D geometric primitives and 3D object representation; 3D transformation; 3D viewing and projections"
BCS3505,3,Curves Surfaces Hidden Lines and Illumination Models,"Introduction to curves and surfaces; Quadric surfaces; Spheres and ellipsoid; Blob; Surface concepts of spline B spline and Bezier curves and surfaces; Introduction to hidden lines and surfaces; Back face detection algorithm; Depth buffer method; A buffer method; Scan line method; Basic illumination models ambient light diffuse illumination specular reflection and Phong model; Combined approach intensity attenuation; Color consideration transparency and shadows"
BCS3601,1,Introduction to Core Java Programming,"History and evolution of Java; Java architecture; Java development kit; Types of Java programs; Simple Java program compilation and execution; Variable declaration; Data types in Java; Tokens; Type casting and conversion; Arrays; Operators in Java; Operator precedence; Control statements; Introduction to classes; Instance variables and class variables; Instance methods; Constructors; Declaring objects; Garbage collection; Method overloading"
BCS3601,2,Inheritance Abstract Classes Interfaces Exception Handling and Multithreading,"Inheritance; Super class variables and subclass objects; Super references; Constructor chaining; Method overriding; Final keyword; Abstract classes and interfaces; Defining and implementing interface; Extending interface; Interface references; Exception handling hierarchy; Checked and unchecked exceptions; Handling exception; User defined exception; Multithreaded programming; Java thread model; Thread life cycle; Thread scheduling; Synchronization; Deadlock; Inter thread communication; Joining threads; Suspending and resuming threads"
BCS3601,3,Packages Access Modifiers Strings Input Output Classes,"Packages and access modifiers; Package declaration; CLASSPATH variable; Import statement; Java language packages; Access protection; Creating and operating strings; Character extraction methods; String comparison; Searching and modifying strings; Data conversions and valueOf methods; StringBuffer class; Wrapper classes; Hierarchy of classes in Java IO package; File classes; InputStream and OutputStream classes; FilterInputStream and FilterOutputStream classes; Reader and Writer classes; Basics of networking; Java networking protocol"
BCS3601,4,AWT Layout Management and Event Handling Swing,"Applet life cycle; Running applets; Methods of Applet class; Graphics class; Color class; Font class; AWT classes hierarchy; Container classes frame window and panel classes; Menus; Layout management and event handling; Standard layout managers; Event classes; Event listener interface; Adapter classes; Swing and AWT; Swing packages; Structure of Swing application; Top level swing containers; Lightweight swing container; JComponent classes; Basic swing components; Swing text components"
BHS3501,1,Introduction and Basic Concepts,"Meaning nature and scope of economics; Role of engineering in economics; Managerial economics and its scope in engineering practice; Relationship between science engineering and managerial economics"
BHS3501,2,Demand Analysis and Forecasting,"Law of demand; Determinants of demand; Elasticity of demand; Price income and cross elasticity; Law of supply; Factors affecting supply; Elasticity of supply; Demand forecasting meaning significance and methods; Production functions; Law of return to scale; Law of diminishing return to scale; Short run and long run cost curves; Fixed cost variable cost average cost marginal cost opportunity cost; Break even analysis"
BHS3501,3,Market Structure,"Perfect competition; Imperfect competition; Monopoly; Monopolistic competition; Oligopoly; Duopoly; Price discrimination; Features of different market structures"
BHS3501,4,National Income Inflation and Business Cycle,"Nature and characteristics of Indian economy; Concept of national income and its measurement; Meaning of inflation types causes and prevention methods; Deflation; Phases of business cycle"
BCS3602,1,Introduction and Advanced Data Structures,"Notion of algorithm; Analysis of algorithms; Designing of algorithms; Growth of functions; Master's theorem; Asymptotic notations and basic efficiency classes; Insertion sort; Selection sort; Bubble sort; Merge sort; Quick sort; Heap sort; Sequential search; Binary search; Binary search tree and AVL tree traversal and properties; Binomial heaps; Fibonacci heaps; Data structure for disjoint sets"
BCS3602,2,Advanced Design and Analysis Techniques,"Dynamic programming; Matrix chain multiplication problem; Optimal binary search tree; Greedy algorithms; Amortized analysis"
BCS3602,3,Graph Algorithms,"Elementary graph algorithms; Depth first search; Breadth first search; Minimum spanning trees; Single source shortest paths; All pairs shortest paths; Maximum flow and flow networks; Backtracking"
BCS3602,4,Selected Topics,"Randomized algorithms; String matching; Travelling salesman problem; NP completeness; Approximation algorithms"
BCS3603,1,Introduction to Parallel Computing,"Parallel computing concepts; Parallel computer model; Program and network properties; Parallel architectural classification schemes; Flynn's and Feng's classification; Performance metrics and measures; Multiprocessor systems and interconnection networks; Speedup performance laws"
BCS3603,2,Pipelining and Memory Hierarchy,"Instruction set principles; ILP basics; Exploiting instruction level parallelism; Limits on ILP; Linear and nonlinear pipeline processors; Superscalar and super pipeline design; Memory hierarchy design; Cache performance optimization; Memory technology and optimization; Cache coherence and synchronization mechanisms"
BCS3603,3,Thread and Process Level Parallel Architecture,"MIMD architecture; Multithreaded architectures; Clustering; SIMD architecture; Associative and neural architecture; Data parallel pipelined systolic architectures; Vector architectures; Parallel algorithms parallel reduction; Prefix sums; Preorder tree traversal; Merging two sorted lists; Matrix multiplication row column oriented algorithms; Parallel algorithm design strategies"
BCS3604,1,Introduction to Compiler,"Compiler introduction and features; Analysis synthesis model; Phases of compiler; Grouping of phases; Concept of pass; Bootstrapping; Lexical analyzer implementation; Role of lexical analyzer; Token pattern and lexeme functions; Finite state machine and regular expression; Formal grammar and application to syntax analysis; Context free grammar; Derivation and parse trees"
BCS3604,2,Parsing Techniques,"Top down parsing backtracking and predictive parser; Bottom up parsing shift reduce parser; Operator precedence parsing; Recursive descent parser; LR parser LR0 SLR canonical LR LALR; Syntax directed translation; Construction of syntax tree and DAG representation; Symbol table; Storage allocation strategies; Runtime storage organization; Error detection and recovery lexical syntax and semantic errors"
BCS3604,3,Intermediate Code Generation,"Forms of intermediate code; Implementation of three address code quadruple triple; Translation of assignment statements; Translation of Boolean expressions; Flow of control statements and case statements; Code generation design issues; Target code and addresses in target code; Code generation algorithm"
BCS3604,4,Code Optimization,"Machine independent optimization; Basic blocks; Flow graph DAG representation of basic blocks; Loop in flow graph transformation; Loop optimization; Peephole optimization; Global data flow analysis; Data flow and control flow analysis"
BHS3601,1,Introduction to Industrial Management,"Concept development and scope of industrial management; Productivity measurement and productivity index; Types of production systems; Production planning and control"
BHS3601,2,Management Functions,"Management tools time and motion study; Process chart; Flow diagrams; Industrial ownership; Corporate social responsibility; Public private partnership model"
BHS3601,3,Inventory and Quality Control,"Inventory deterministic models; Concept of supply chain management; Quality control SQC control charts; Single double and sequential sampling; Introduction to total quality management"
BHS3601,4,Project Management,"Project network analysis; CPM; PERT; Project crashing; Resource leveling"
GE33212,1,Artificial Intelligence and Soft Computing Introduction,"Soft computing introduction; Soft computing vs hard computing; Types of soft computing techniques; Artificial neural networks; Fuzzy logic; Genetic algorithms; Applications of soft computing; Artificial intelligence introduction; AI production systems; Types and characteristics of production systems; Search algorithms breadth first search depth first search; Heuristic search hill climbing best first search A* algorithm AO* algorithm; Knowledge representation propositional logic predicate logic; Forward reasoning and backward reasoning; Weak and strong slot and filler structures; Natural language processing"
GE33212,2,Neural Networks,"Structure of biological neuron; Nerve structure and synapse; Artificial neuron model; Activation functions; Neural network architecture single layer feed forward networks multilayer feed forward networks recurrent networks; Various learning techniques; Perceptron training algorithm; Linear separability; Widrow and Hebb learning rule; Delta rule; ADALINE and MADALINE; Introduction to MLP and BPN; Error back propagation algorithm; Characteristics and application of EBPA; Momentum factor and limitation of EBPA; Difference between ANN and human brain; Associative memory and its characteristics; Counter propagation network architecture functioning and characteristics; Hopfield recurrent network; Hopfield vs Boltzmann machine; Adaptive resonance theory ART architecture classification and training"
GE33212,3,Fuzzy Logic,"Basic concepts of fuzzy logic; Fuzzy sets vs crisp sets; Fuzzy set theory and operations; Properties of fuzzy sets and crisp sets; Fuzzy relations and crisp relations; Fuzzy to crisp conversion; Membership functions; Fuzzification and defuzzification; Fuzzy proposition; Fuzzy inference system; Fuzzy rule base; Fuzzy reasoning and decision making; Fuzzy logic controller formation decomposition and aggregation of fuzzy rules; Industrial applications of fuzzy logic"
GE33212,4,Genetic Algorithm,"Introduction to genetic algorithm; Fundamentals of GA; Working principle; Encoding and fitness function; Reproduction; Genetic modeling; Inheritance operators; Cross over operators; Inversion and deletion mutation operators; Bitwise operators; Generational cycle of GA; Convergence of GA; Applications and advances in GA; Differences and similarities between GA and traditional methods"
BCS3701,1,Introduction to Artificial Intelligence,"Introduction to artificial intelligence; Simulation of sophisticated and intelligent behavior; Problem solving in games; Natural language processing; Automated reasoning; Visual perception; Heuristic search algorithms vs guaranteed algorithms"
BCS3701,2,Knowledge Representation and Reasoning,"First order predicate calculus; Horn clauses; Semantic nets; Partitioned nets; Minsky frames; Knowledge acquisition; Knowledge representation; Knowledge base; Production rules; Knowledge inference strategies; Forward chaining; Backward chaining"
BCS3701,3,Expert Systems,"Expert systems existing systems DENDRAL MYCIN; Domain exploration; Meta knowledge; Expertise transfer; Self explaining systems"
BCS3701,4,Pattern Recognition and AI Languages,"Introduction to pattern recognition; Structured description; Symbolic description; Machine perception; Line finding; Interception; Semantic model; Object identification; Speech recognition; AI programming languages LISP and PROLOG"
BCS3702,1,Introduction to Cryptography and Symmetric Ciphers,"Security attacks security services and mechanisms; Classical encryption techniques substitution ciphers transposition ciphers steganography cryptanalysis; Stream and block cipher; Block cipher principles and block cipher modes of operations; Shannon's theory of confusion and diffusion; Data encryption standard DES; Strength of DES; Differential cryptanalysis; Triple DES; Symmetric key distribution; Introduction to groups rings and fields; Modular arithmetic; Euclidean algorithm; Finite fields of the form GF(p)"
BCS3702,2,Number Theory and Public Key Cryptography,"Introduction to number theory; Prime and relative prime numbers; Fermat and Euler theorem; Testing for primality; Chinese remainder theorem; Discrete logarithms; Public key cryptography principles; RSA algorithm; Security of RSA; Key management; Diffie Hellman key exchange"
BCS3702,3,Hash Functions and Digital Signatures,"Message authentication; Hash functions; Secure hash functions; Security of hash functions and MACs; Digital signatures; Digital signature standards DSS; Proof of digital signature algorithm; Advanced encryption standard AES encryption and decryption"
BCS3702,4,Network and System Security,"Authentication applications Kerberos X509 certificates; Electronic mail security PGP S MIME; IP security IPsec architecture authentication header encapsulating security payloads; Combining security associations; Web security SSL TLS secure electronic transaction; Intruders viruses firewalls"
GE33223,1,HTML XML and JavaScript,"HTML common tags; Lists; Tables; Images; Forms; Frames; Cascading Style Sheets; Introduction to JavaScript objects and functions; Dynamic HTML with JavaScript; XML document type definition; XML schemas; Document object model; Presenting XML using XML processors DOM SAX XSLT; Java API for XML processing JAXP"
GE33223,2,Java Beans and Servlets,"Introduction to Java beans advantages and properties; Introspection using bound properties; Bean info interface constrained properties; Introduction to EJB; Java beans API; Introduction to servlet and lifecycle of servlet; JDBC HTTP package; Handling HTTP request and response; Cookies; Session tracking; Security issues"
GE33223,3,JSP Processing and Web Applications,"Introduction to JSP; JSP application design; Tomcat server; Implicit JSP objects; Conditional processing; Declaring variables and methods; Error handling and debugging; Sharing data between JSP pages; Sharing session and application data"
GE33223,4,Database Access in Web Applications,"Database access; Java SQL package; Accessing database from JSP page; Database specific actions; Deploying Java beans in JSP page; Introduction to Struts framework"
GE33231,1,Information Systems and Security Basics,"Information systems and its importance; History of information systems; Need of distributed information systems; Role of internet and web services; Information system threats and attacks; Classification of threats; Security in mobile and wireless computing; Security challenges in mobile devices; Authentication service security; Security implications for organizations; Wireless security concepts; Internet and web security protocols TCP IP IPv4 IPv6; Functions of networking components routers bridges switches hubs gateways and modulation techniques"
GE33231,2,Principles of Information Security,"Confidentiality integrity availability; Information classification and roles; Security threats to e commerce; Virtual organization; Business transactions on web; E governance and e governance models; Credit and debit cards; Physical security needs disaster and controls; Basic tenets of physical security and physical entry controls; Access control and biometrics; Factors in biometric systems; Design issues in biometric systems; Interoperability issues; Economic social legal challenges; Framework for information security ISO 27001 SEI CMM security metrics information privacy"
GE33231,3,Network and Cryptographic Security Systems,"Models of cryptographic systems; Issues in document security; System of keys; Public key cryptography; Digital signature; Requirements of digital signature systems; Firewalls principles and design; Implementation issues; Network security policies; Perimeter defense; Intrusion detection systems; Need for intrusion detection; VPN and tunneling; Authentication mechanisms; VPN types; Security concerns in VPN"
GE33231,4,Laws Investigation and Ethics in Cyber Security,"Cyber crime; Information security and law; Types and overview of cyber crimes; Cyber law; Issues in e business management; Overview of Indian IT Act; Ethical issues in intellectual property rights; Copyright and patents; Data privacy and protection; Domain name; Software piracy; Plagiarism; Issues in ethical hacking"
OE33501,1,Quality Concepts,"Evolution of quality control; Concept change; TQM modern concept; Quality concept in design; Review of design; Evolution of prototype"
OE33501,2,Control on Purchased Product and Manufacturing Quality,"Procurement of various products; Evaluation of supplies; Capacity verification; Development of sources; Procurement procedure; Methods and techniques for manufacture; Inspection and control of product; Quality in sales and services; Guarantee analysis of claims"
OE33501,3,Quality Management and Control Charts,"Organization structure and design; Quality function; Decentralization; Designing and fitting organization for different types of products; Economics of quality value and contribution; Quality cost; Optimizing quality cost; Control charts theory; Measurement and range; Construction and analysis of R charts; Process capability study; Use of control charts"
OE33501,4,Quality Improvement and Reliability,"Defect study; Identification and analysis of defects; Corrective measures; Factors affecting reliability; MTBF; Calculation of reliability; Building reliability in product; Evaluation of reliability; Interpretation of test results; Reliability control and maintainability; Zero defects quality circle; ISO 9000 series; Taguchi method; JIT in quality management"
BCS3801,1,Introduction and Fundamentals,"Motivation and perspective of digital image processing; Applications of image processing; Components of image processing system; Elements of visual perception; Simple image model; Sampling and quantization; Image enhancement in spatial domain; Basic gray level transformations; Piecewise linear transformation; Contrast stretching; Histogram processing; Histogram specification; Histogram equalization; Local enhancement; Image subtraction and image averaging; Basics of spatial filtering; Smoothing mean filter; Ordered statistic filter; Sharpening Laplacian filter"
BCS3801,2,Image Enhancement in Frequency Domain and Image Restoration,"Fourier transform and frequency domain filtering; Low pass filters and high pass filters; Correspondence between spatial and frequency domain filtering; Gaussian low pass filters; Gaussian high pass filters; Homomorphic filtering; Image restoration model; Noise models; Restoration in presence of noise; Arithmetic mean filter; Geometric mean filter; Median filter; Max filter; Min filter; Periodic noise reduction by frequency domain filtering and bandpass filters; Minimum mean square error restoration"
BCS3801,3,Colour and Morphological Image Processing and Registration,"Color fundamentals; Color models; Converting colors to different models; Color transformation smoothing and sharpening; Color segmentation; Introduction to morphological image processing; Binary image operations dilation erosion opening closing; Boundary extraction; Region filling; Extraction of connected components; Convex hull; Thinning and thickening; Image registration introduction; Geometric transformations plane to plane transformation mapping; Stereo imaging algorithms to establish correspondence; Algorithms to recover depth"
BCS3801,4,Segmentation and Object Recognition,"Segmentation introduction; Region extraction; Pixel based approach; Multilevel thresholding; Local thresholding; Region based approach; Edge and line detection; Edge detection operators; Pattern fitting approach; Edge linking and edge following; Edge elements; Feature extraction topological attributes and geometric attributes; Boundary based description; Region based description; Relationship descriptors; Object recognition deterministic methods; Clustering; Statistical classification; Syntactic recognition; Tree search; Graph matching"
GE33241,1,Data Mining Overview and Preprocessing,"Motivation for data mining; Data mining definition and functionalities; Forms of data preprocessing; Data cleaning missing values noisy data inconsistent data; Data integration and transformation; Data reduction data cube aggregation dimensionality reduction data compression numerosity reduction; Clustering discretization and concept hierarchy generation"
GE33241,2,Data Mining Statistics and Association Rules,"Concept description definition and data generalization; Analytical characterization; Analysis of attribute relevance; Mining class comparisons; Statistical measures in large databases measuring central tendency; Measuring dispersion of data range quartiles outliers box plots variance standard deviation; Graph displays of basic statistical class description; Mining association rules in large databases; Single dimensional Boolean association rules from transactional databases; Apriori algorithm; Mining multilevel association rules; Mining multidimensional association rules from relational databases"
GE33241,3,Classification and Prediction,"Classification and prediction issues; Decision tree classification; Bayesian classification; Back propagation neural network classification; k nearest neighbor classification; Genetic algorithm classification; Cluster analysis types; Partitioning clustering methods; Hierarchical clustering CURE and Chameleon; Density based methods DBSCAN and OPTICS; Grid based methods STING and CLIQUE; Model based methods; Outlier analysis; Neural network approach"
GE33241,4,Data Warehousing and OLAP,"Data warehouse definition and delivery process; Difference between database system and data warehouse; Multidimensional data model data cubes stars snowflakes fact constellations; Concept hierarchy; Three tier architecture; Data mart; Aggregation and historical information; OLAP functions and tools; OLAP servers ROLAP MOLAP HOLAP; Data mining interface; Security backup and recovery; Tuning and testing data warehouse"
GE33251,1,Introduction to Data Compression,"Lossless and lossy compression; Measures of performance; Modeling and coding; Mathematical preliminaries for lossless compression; Prefix codes; Markov models; Composite source model; Uniquely decodable codes"
GE33251,2,Huffman and Arithmetic Coding,"Huffman coding algorithm; Minimum variance Huffman codes; Adaptive Huffman coding; Update procedure encoding procedure decoding procedure; Golomb codes; Rice codes; Tunstall codes"
GE33251,3,Dictionary and Context Based Compression,"Static dictionary; LZ77 compression; LZ78 compression; LZW compression; Applications file compression Unix compress image compression graphics formats GIF PNG compression over modems V42 bis; Context based compression introduction; Prediction with partial match PPM; Basic algorithm escape symbol length coding; Burrows Wheeler transform; Move to front coding; Dynamic Markov compression"
GE33251,4,Lossy Image Compression and Quantization,"Lossy image compression introduction; CALIC; JPEG LS; Multi resolution approaches; Facsimile encoding; Distortion criteria and models; Scalar quantization and the quantization problem; Uniform quantizer; Adaptive quantization; Non uniform quantization; Vector quantization introduction; Advantages of vector quantization over scalar quantization; Linde Buzo Gray algorithm; Tree structured vector quantization"
OE33101,1,Introduction to Environmental Hazards,"Concept of environmental hazards environmental stress and environmental disasters; Types of environmental hazards and disasters; Natural hazards; Volcanic hazards causes and distribution; Hazardous effects of volcanic eruptions and environmental impacts; Earthquake hazards and disasters causes and distribution; Flood control measures; Human adjustment perception and mitigation; Droughts and impacts of droughts; Drought hazards in India; Drought control measures"
OE33101,2,Soil Erosion and Environmental Problems,"Factors and causes of soil erosion; Conservation measures of soil erosion; Chemical hazards and disasters; Release of toxic chemicals; Nuclear explosion; Sedimentation processes; Global and regional sedimentation problems; Sedimentation and environmental problems; Corrective measures of erosion and sedimentation; Biological hazards and disasters; Population explosion"
OE33101,3,Disaster Preparedness and Management,"Pre disaster stage preparedness; Preparing hazard zonation maps; Predictability forecasting and warning; Preparing disaster preparedness plan; Land use zoning; Pre disaster stage mitigation; Disaster resistant house construction; Population reduction in vulnerable areas; Awareness; Emergency stage rescue training for search and operation at national and regional level; Immediate relief; Assessment surveys; Post disaster stage rehabilitation; Political and administrative aspects"
OE33101,4,Relief Measures and Disaster Institutions,"Provision of immediate relief measures to disaster affected people; Prediction of hazards and disasters; Measures of adjustment to natural hazards mitigation; Meteorological observatory; Seismological observatory; Hydrology laboratory; Industrial safety inspectorate; Urban and regional planners; Chambers of architects; Engineering council; National standards committee; Integrated continuation management; Preparedness education on disasters; Community involvement; Adjustment of human population to natural hazards and disasters"
